"","X1.x","PL","NAME","YEAR","Team","Avg. Mile","TIME","SCORE","1.1k","3k","X1.y","Region","allAmerican"
"167",167,167,"Hagstrom, Elizabeth","SR","Washington U.",06:00:00,22:23:00,115,"3:37.5 (3:37.5)","10:51.2 (7:13.8)",190,"Midwest","Participant"
"168",168,168,"Rodenfels, Annie","SO","Centre",06:00:00,22:23:00,NA,"3:35.8 (3:35.8)","10:58.6 (7:22.8)",261,"South","Participant"
"169",169,169,"Hamilton, Lauren","FR","Pomona-Pitzer",06:00:00,22:23:00,NA,"3:33.5 (3:33.5)","10:49.6 (7:16.2)",119,"West","Participant"
"170",170,170,"Powell, Tru","SR","Emory",06:00:00,22:24:00,116,"3:35.0 (3:35.0)","10:55.7 (7:20.7)",260,"South","Participant"
"171",171,171,"Hughes, Meredith","FR","Emory",06:00:00,22:24:00,117,"3:36.4 (3:36.4)","10:56.0 (7:19.6)",260,"South","Participant"
"172",172,172,"Driscoll, Meaghan","SO","DeSales",06:00:00,22:25:00,118,"3:28.0 (3:28.0)","10:43.8 (7:15.8)",98,"Mideast","Participant"
"173",173,173,"Wasserman, Alice","SR","Tufts",06:00:00,22:25:00,119,"3:37.1 (3:37.1)","10:55.4 (7:18.3)",138,"New England","Participant"
"174",174,174,"Keene, Ashton","FR","Wis.-Oshkosh",06:01:00,22:26:00,120,"3:40.5 (3:40.5)","11:03.9 (7:23.5)",196,"Midwest","Participant"
"175",175,175,"Admiraal, Johanna","FR","Calvin",06:01:00,22:26:00,121,"3:29.6 (3:29.6)","10:50.3 (7:20.7)",230,"Great Lakes","Participant"
"176",176,176,"Eisenhandler, Mia","SR","Emory",06:01:00,22:27:00,122,"3:35.5 (3:35.5)","10:56.1 (7:20.7)",260,"South","Participant"
"177",177,177,"Jordan, Mariah","SR","Manchester",06:01:00,22:27:00,NA,"3:29.8 (3:29.8)","10:54.2 (7:24.5)",236,"Great Lakes","Participant"
"178",178,178,"Dauer, Beth","JR","DeSales",06:01:00,22:28:00,123,"3:35.0 (3:35.0)","11:01.3 (7:26.3)",98,"Mideast","Participant"
"179",179,179,"Brady, Kelsey","JR","Elizabethtown",06:01:00,22:29:00,124,"3:42.1 (3:42.1)","11:13.1 (7:31.0)",74,"Mideast","Participant"
"180",180,180,"Sigler, Riley","SR","Nebraska Wesleyan",06:01:00,22:29:00,125,"3:35.9 (3:35.9)","10:59.6 (7:23.7)",8,"Central","Participant"
"181",181,181,"Mertz, Emilie","SO","Ithaca",06:02:00,22:29:00,126,"3:31.8 (3:31.8)","10:48.2 (7:16.4)",33,"Atlantic","Participant"
"182",182,182,"Wilson, Meg","FR","Middlebury",06:02:00,22:30:00,127,"3:36.8 (3:36.8)","10:54.2 (7:17.5)",140,"New England","Participant"
"183",183,183,"Jones, Morgan","SO","Wilkes",06:02:00,22:30:00,NA,"3:41.0 (3:41.0)","11:09.3 (7:28.3)",101,"Mideast","Participant"
"184",184,184,"West, Mary","SR","RPI",06:02:00,22:31:00,128,"3:41.1 (3:41.1)","11:05.3 (7:24.3)",32,"Atlantic","Participant"
"185",185,185,"Harris, Sydni","JR","Nebraska Wesleyan",06:02:00,22:32:00,129,"3:37.6 (3:37.6)","11:01.6 (7:24.0)",8,"Central","Participant"
"186",186,186,"Verner-Crist, Megan","JR","U. of Chicago",06:03:00,22:33:00,130,"3:35.1 (3:35.1)","11:01.7 (7:26.7)",191,"Midwest","Participant"
"187",187,187,"Frayne-Reixa, Adriana","SR","Dickinson",06:03:00,22:33:00,131,"3:43.2 (3:43.2)","11:06.1 (7:22.9)",70,"Mideast","Participant"
"188",188,188,"Ionescu, Lucile","SO","Dickinson",06:03:00,22:33:00,132,"3:42.8 (3:42.8)","11:08.9 (7:26.2)",70,"Mideast","Participant"
"189",189,189,"Anderson, Maria","JR","Elizabethtown",06:03:00,22:34:00,133,"3:42.5 (3:42.5)","11:12.6 (7:30.1)",74,"Mideast","Participant"
"190",190,190,"Glassbrenner, Ali","JR","St. Thomas (Minn.)",06:03:00,22:34:00,134,"3:40.1 (3:40.1)","11:12.1 (7:32.0)",4,"Central","Participant"
"191",191,191,"Alley, Reagan","JR","Rhodes",06:03:00,22:34:00,135,"3:34.4 (3:34.4)","10:54.4 (7:20.0)",266,"South","Participant"
"192",192,192,"Kalbian, Kathleen","SR","Stevens Institute",06:03:00,22:34:00,136,"3:43.3 (3:43.3)","11:15.0 (7:31.7)",46,"Atlantic","Participant"
"193",193,193,"MacCary, Katherine","SO","Middlebury",06:03:00,22:34:00,137,"3:38.0 (3:38.0)","11:03.3 (7:25.4)",140,"New England","Participant"
"194",194,194,"Thayer, Allison","SR","RPI",06:03:00,22:34:00,138,"3:44.4 (3:44.4)","11:11.5 (7:27.2)",32,"Atlantic","Participant"
"195",195,195,"Costelloe, Claire","JR","U. of Chicago",06:03:00,22:35:00,139,"3:44.0 (3:44.0)","11:14.2 (7:30.2)",191,"Midwest","Participant"
"196",196,196,"Grazia, Sierra","SO","Ithaca",06:03:00,22:35:00,140,"3:31.6 (3:31.6)","10:54.8 (7:23.2)",33,"Atlantic","Participant"
"197",197,197,"McGahan, Marissa","JR","Calvin",06:03:00,22:35:00,141,"3:36.7 (3:36.7)","11:00.6 (7:24.0)",230,"Great Lakes","Participant"
"198",198,198,"Walz, Jenny","JR","St. Thomas (Minn.)",06:03:00,22:35:00,142,"3:38.4 (3:38.4)","11:04.7 (7:26.3)",4,"Central","Participant"
"199",199,199,"Tierney, Kelsey","SO","Tufts",06:03:00,22:35:00,143,"3:34.3 (3:34.3)","10:53.1 (7:18.9)",138,"New England","Participant"
"200",200,200,"Xu, Jenny","SO","MIT",06:03:00,22:35:00,144,"3:35.5 (3:35.5)","11:00.6 (7:25.1)",137,"New England","Participant"
"201",201,201,"Hamilton, Emily","SO","Hope",06:03:00,22:36:00,145,"3:30.7 (3:30.7)","10:54.8 (7:24.2)",228,"Great Lakes","Participant"
"202",202,202,"Kagei, Michelle","SR","Emory",06:04:00,22:39:00,146,"3:34.6 (3:34.6)","11:00.1 (7:25.5)",260,"South","Participant"
"203",203,203,"Bacher, Katie","FR","MIT",06:04:00,22:39:00,147,"3:35.4 (3:35.4)","10:53.8 (7:18.5)",137,"New England","Participant"
"204",204,204,"Sturm, Maddie","FR","RPI",06:04:00,22:39:00,148,"3:44.6 (3:44.6)","11:11.7 (7:27.1)",32,"Atlantic","Participant"
"205",205,205,"Beiermann, Ellie","FR","Nebraska Wesleyan",06:04:00,22:40:00,149,"3:38.0 (3:38.0)","11:03.9 (7:25.9)",8,"Central","Participant"
"206",206,206,"Hamilton, Nicole","SR","Nebraska Wesleyan",06:05:00,22:41:00,150,"3:41.8 (3:41.8)","11:11.8 (7:30.1)",8,"Central","Participant"
"207",207,207,"Dunn, Kelsey","JR","U. of Chicago",06:05:00,22:41:00,151,"3:33.7 (3:33.7)","10:56.1 (7:22.4)",191,"Midwest","Participant"
"208",208,208,"Cioffredi, Michaela","SR","Ithaca",06:05:00,22:41:00,152,"3:32.6 (3:32.6)","10:45.8 (7:13.2)",33,"Atlantic","Participant"
"209",209,209,"Chichester, Elizabeth","SR","Oneonta",06:06:00,22:44:00,153,"3:35.8 (3:35.8)","10:57.3 (7:21.5)",56,"Atlantic","Participant"
"210",210,210,"McPherson, Cassidy","JR","U. of Chicago",06:06:00,22:45:00,154,"3:33.4 (3:33.4)","11:03.2 (7:29.8)",191,"Midwest","Participant"
"211",211,211,"Hoornaert, Jamie","SR","St. Olaf",06:06:00,22:46:00,155,"3:38.5 (3:38.5)","11:10.3 (7:31.8)",5,"Central","Participant"
"212",212,212,"Watkins, Abby","JR","Rhodes",06:06:00,22:47:00,156,"3:36.1 (3:36.1)","11:04.1 (7:28.0)",266,"South","Participant"
"213",213,213,"Wade, Sarah","JR","Haverford",06:06:00,22:48:00,157,"3:39.9 (3:39.9)","11:06.2 (7:26.3)",72,"Mideast","Participant"
"214",214,214,"Nakasaka, Laura","SR","Carleton",06:07:00,22:48:00,158,"3:38.6 (3:38.6)","11:06.0 (7:27.4)",1,"Central","Participant"
"215",215,215,"Waples, Megan","SR","Emory",06:07:00,22:49:00,159,"3:33.2 (3:33.2)","10:55.9 (7:22.7)",260,"South","Participant"
"216",216,216,"Chisholm, Molly","SR","Bates",06:07:00,22:49:00,160,"3:36.8 (3:36.8)","11:02.2 (7:25.5)",139,"New England","Participant"
"217",217,217,"Wedekind, Elizabeth","SR","Elizabethtown",06:07:00,22:50:00,161,"3:43.0 (3:43.0)","11:14.2 (7:31.2)",74,"Mideast","Participant"
"218",218,218,"Cantu, Roselyn","JR","Claremont-Mudd-Scripps",06:07:00,22:50:00,162,"3:38.0 (3:38.0)","11:12.9 (7:34.9)",118,"West","Participant"
"219",219,219,"Andrews, Maeve","SR","Emory",06:07:00,22:51:00,163,"3:35.2 (3:35.2)","10:55.6 (7:20.5)",260,"South","Participant"
"220",220,220,"Brekken, Annie","SO","Wis.-La Crosse",06:07:00,22:51:00,164,"3:35.5 (3:35.5)","10:58.3 (7:22.8)",192,"Midwest","Participant"
"221",221,221,"Doroshow, Abigail","FR","Haverford",06:07:00,22:51:00,165,"3:42.5 (3:42.5)","11:12.4 (7:29.9)",72,"Mideast","Participant"
"222",222,222,"Ness, Sara","FR","St. Thomas (Minn.)",06:08:00,22:52:00,166,"3:39.3 (3:39.3)","11:12.0 (7:32.8)",4,"Central","Participant"
"223",223,223,"Earnshaw, Brianna","SR","Elizabethtown",06:08:00,22:52:00,167,"3:42.5 (3:42.5)","11:14.1 (7:31.6)",74,"Mideast","Participant"
"224",224,224,"Levy, Sam","FR","Johns Hopkins",06:08:00,22:52:00,168,"3:28.4 (3:28.4)","10:53.8 (7:25.5)",69,"Mideast","Participant"
"225",225,225,"Johnson, Kimberly","SR","Washington U.",06:08:00,22:53:00,169,"3:40.3 (3:40.3)","11:10.2 (7:29.9)",190,"Midwest","Participant"
"226",226,226,"Geist, Marietta","FR","Carleton",06:08:00,22:53:00,170,"3:39.1 (3:39.1)","11:12.5 (7:33.4)",1,"Central","Participant"
"227",227,227,"Hawgood, Bryony","FR","St. Olaf",06:08:00,22:54:00,171,"3:46.4 (3:46.4)","11:17.0 (7:30.6)",5,"Central","Participant"
"228",228,228,"Veldhuisen, Leah","SO","Colorado College",06:08:00,22:54:00,172,"3:41.4 (3:41.4)","11:16.1 (7:34.7)",125,"West","Participant"
"229",229,229,"Rendflesh, Leah","SR","Wis.-Oshkosh",06:08:00,22:54:00,173,"3:41.3 (3:41.3)","11:13.4 (7:32.1)",196,"Midwest","Participant"
"230",230,230,"Mow, Rachel","SR","Claremont-Mudd-Scripps",06:08:00,22:54:00,174,"3:36.8 (3:36.8)","11:07.0 (7:30.2)",118,"West","Participant"
"231",231,231,"Bentley, Jessica","JR","St. Olaf",06:09:00,22:56:00,175,"3:39.8 (3:39.8)","11:17.2 (7:37.5)",5,"Central","Participant"
"232",232,232,"Pomainville, Carrie","JR","St. Lawrence",06:09:00,22:56:00,176,"3:40.7 (3:40.7)","11:15.9 (7:35.3)",37,"Atlantic","Participant"
"233",233,233,"Lutz, Jordan","JR","St. Olaf",06:09:00,22:57:00,177,"3:39.8 (3:39.8)","11:16.5 (7:36.7)",5,"Central","Participant"
"234",234,234,"Fisher, Lisa","FR","St. Olaf",06:09:00,22:57:00,178,"3:41.5 (3:41.5)","11:16.9 (7:35.4)",5,"Central","Participant"
"235",235,235,"Hayden, Ellery","JR","Rhodes",06:09:00,22:58:00,179,"3:45.0 (3:45.0)","11:16.8 (7:31.9)",266,"South","Participant"
"236",236,236,"Campos, Taylor","FR","U. of Chicago",06:09:00,22:58:00,180,"3:34.7 (3:34.7)","10:58.4 (7:23.7)",191,"Midwest","Participant"
"237",237,237,"Rothmann, Sarah","SO","Bates",06:09:00,22:58:00,181,"3:41.4 (3:41.4)","11:11.6 (7:30.2)",139,"New England","Participant"
"238",238,238,"Alfaro, Isabella","JR","Middlebury",06:10:00,22:59:00,182,"3:38.3 (3:38.3)","11:03.9 (7:25.6)",140,"New England","Participant"
"239",239,239,"Earrusso, Kaela","SR","Stevens Institute",06:10:00,23:01:00,183,"3:43.1 (3:43.1)","11:16.3 (7:33.2)",46,"Atlantic","Participant"
"240",240,240,"Nazarino, Sarah","SO","Carleton",06:10:00,23:01:00,184,"3:39.5 (3:39.5)","11:12.2 (7:32.7)",1,"Central","Participant"
"241",241,241,"Broderick, Laura","JR","Claremont-Mudd-Scripps",06:11:00,23:03:00,185,"3:42.2 (3:42.2)","11:16.8 (7:34.6)",118,"West","Participant"
"242",242,242,"Szatkowski, Mary","JR","Bates",06:11:00,23:04:00,186,"3:44.5 (3:44.5)","11:14.3 (7:29.8)",139,"New England","Participant"
"243",243,243,"Horowitz, Kelsey","JR","Dickinson",06:11:00,23:04:00,187,"3:43.6 (3:43.6)","11:13.0 (7:29.5)",70,"Mideast","Participant"
"244",244,244,"Warling, Allysa","SO","Colorado College",06:11:00,23:04:00,188,"3:34.7 (3:34.7)","11:00.8 (7:26.2)",125,"West","Participant"
"245",245,245,"Moore, Meredith","FR","St. Olaf",06:11:00,23:05:00,189,"3:39.8 (3:39.8)","11:17.6 (7:37.8)",5,"Central","Participant"
"246",246,246,"Marsh, Melissa","JR","St. Thomas (Minn.)",06:12:00,23:09:00,190,"3:36.8 (3:36.8)","11:10.3 (7:33.5)",4,"Central","Participant"
"247",247,247,"Bauer, Jerrica","FR","Colorado College",06:12:00,23:09:00,191,"3:44.3 (3:44.3)","11:14.8 (7:30.5)",125,"West","Participant"
"248",248,248,"Downing, Katie","SR","DeSales",06:13:00,23:10:00,192,"3:35.1 (3:35.1)","11:12.9 (7:37.9)",98,"Mideast","Participant"
"249",249,249,"Jakubowski, Alexis","SO","Middlebury",06:13:00,23:11:00,193,"3:39.0 (3:39.0)","11:12.3 (7:33.3)",140,"New England","Participant"
"250",250,250,"Awtry, Hannah","SO","Nebraska Wesleyan",06:13:00,23:12:00,194,"3:38.7 (3:38.7)","11:11.8 (7:33.2)",8,"Central","Participant"
"251",251,251,"Leta, Ashley","JR","St. Lawrence",06:14:00,23:15:00,195,"3:40.7 (3:40.7)","11:18.6 (7:38.0)",37,"Atlantic","Participant"
"252",252,252,"Salzano, Miabelle","JR","St. Lawrence",06:14:00,23:16:00,196,"3:40.4 (3:40.4)","11:13.9 (7:33.5)",37,"Atlantic","Participant"
"253",253,253,"Dawes, Sara","FR","Whitworth",06:14:00,23:16:00,197,"3:47.0 (3:47.0)","11:29.1 (7:42.1)",129,"West","Participant"
"254",254,254,"Drain, Emily","SR","Ithaca",06:16:00,23:22:00,198,"3:42.0 (3:42.0)","11:16.3 (7:34.4)",33,"Atlantic","Participant"
"255",255,255,"George, Jamie","SR","Dickinson",06:16:00,23:24:00,199,"3:46.0 (3:46.0)","11:26.9 (7:40.9)",70,"Mideast","Participant"
"256",256,256,"Cavanaugh, Mary","JR","Haverford",06:17:00,23:27:00,200,"3:40.8 (3:40.8)","11:23.8 (7:43.0)",72,"Mideast","Participant"
"257",257,257,"Nipper, Nicole","SR","Carleton",06:17:00,23:28:00,201,"3:39.0 (3:39.0)","11:24.9 (7:46.0)",1,"Central","Participant"
"258",258,258,"Hielkema, Marissa","SO","Calvin",06:17:00,23:28:00,202,"3:37.5 (3:37.5)","11:17.7 (7:40.2)",230,"Great Lakes","Participant"
"259",259,259,"Bond, Maggie","FR","RPI",06:18:00,23:30:00,203,"3:46.0 (3:46.0)","11:28.3 (7:42.4)",32,"Atlantic","Participant"
"260",260,260,"Okorn, Kristen","SO","Stevens Institute",06:18:00,23:30:00,204,"3:44.4 (3:44.4)","11:26.5 (7:42.1)",46,"Atlantic","Participant"
"261",261,261,"Anderson, Darby","SR","Allegheny",06:19:00,23:35:00,205,"3:45.6 (3:45.6)","11:27.0 (7:41.4)",229,"Great Lakes","Participant"
"262",262,262,"Kernan, Colleen","SO","Elizabethtown",06:20:00,23:37:00,206,"3:43.1 (3:43.1)","11:24.3 (7:41.2)",74,"Mideast","Participant"
"263",263,263,"Draxler, Michelle","SO","Wis.-Oshkosh",06:20:00,23:37:00,207,"3:42.6 (3:42.6)","11:25.2 (7:42.7)",196,"Midwest","Participant"
"264",264,264,"Reed, Kendall","SR","Rhodes",06:20:00,23:40:00,208,"3:46.9 (3:46.9)","11:35.0 (7:48.1)",266,"South","Participant"
"265",265,265,"Rittenhouse, Ariel","JR","Allegheny",06:22:00,23:44:00,209,"3:42.7 (3:42.7)","11:28.2 (7:45.6)",229,"Great Lakes","Participant"
"266",266,266,"Love, Alison","JR","Haverford",06:22:00,23:45:00,210,"3:45.0 (3:45.0)","11:28.3 (7:43.4)",72,"Mideast","Participant"
"267",267,267,"Mamula, Olivia","JR","Allegheny",06:22:00,23:46:00,211,"3:43.2 (3:43.2)","11:29.0 (7:45.9)",229,"Great Lakes","Participant"
"268",268,268,"Lucier, Nancy","FR","St. Lawrence",06:23:00,23:49:00,212,"3:40.0 (3:40.0)","11:25.3 (7:45.3)",37,"Atlantic","Participant"
"269",269,269,"Suszko, Kasey","SO","Stevens Institute",06:23:00,23:50:00,213,"3:43.3 (3:43.3)","11:18.0 (7:34.8)",46,"Atlantic","Participant"
"270",270,270,"Peppriell, Ashley","SR","SUNY Geneseo",06:28:00,NA,214,"3:32.8 (3:32.8)","11:36.6 (8:03.9)",31,"Atlantic","Participant"
"271",271,271,"Stamn, Jessi","JR","Wis.-Oshkosh",06:28:00,NA,215,"3:47.2 (3:47.2)","11:48.6 (8:01.4)",196,"Midwest","Participant"
"272",272,272,"Donner, Brittany","SO","Nebraska Wesleyan",06:30:00,NA,216,"3:49.3 (3:49.3)","11:48.1 (7:58.8)",8,"Central","Participant"
"273",273,273,"Cool, Sarah","FR","Whitworth",06:30:00,NA,217,"3:54.3 (3:54.3)","12:01.0 (8:06.7)",129,"West","Participant"
"274",274,274,"Cassidy, Tessa","FR","Dickinson",06:31:00,NA,218,"3:46.2 (3:46.2)","11:40.3 (7:54.2)",70,"Mideast","Participant"
"275",275,275,"Moix, Elise","FR","Rhodes",06:32:00,NA,219,"3:45.3 (3:45.3)","11:50.2 (8:05.0)",266,"South","Participant"
"276",276,276,"Kiesewetter, Briditte","SR","DeSales",06:33:00,NA,220,"3:45.1 (3:45.1)","11:49.5 (8:04.4)",98,"Mideast","Participant"
"277",277,277,"Jackson, Megan","SO","Rhodes",06:34:00,NA,221,"3:50.9 (3:50.9)","12:01.7 (8:10.8)",266,"South","Participant"
"278",278,278,"Donnel, Emily","FR","Whitworth",06:35:00,NA,222,"3:54.1 (3:54.1)","12:06.2 (8:12.2)",129,"West","Participant"
"279",279,279,"Tantillo, Claire","FR","Stevens Institute",06:37:00,NA,223,"3:53.6 (3:53.6)","12:06.6 (8:13.0)",46,"Atlantic","Participant"
"280",280,280,"hannah, popp","JR","DeSales",06:42:00,NA,224,"3:45.2 (3:45.2)","11:59.8 (8:14.7)",98,"Mideast","Participant"
